nconst,first,last,Rank,category,MOVIE1,MOVIE2,MOVIE3,MOVIE4,MOVIE5
nm0000385,Sam,Elliott,1,ACTOR,A Star Is Born,The Man Who Killed Hitler and Then The Bigfoot,,,
nm0000353,Willem,Dafoe,1,ACTOR,At Eternity's Gate,Vox Lux,Aquaman,,
nm0136797,Steve,Carell,1,ACTOR,Beautiful Boy,Welcome to Marwen,Vice,,
nm3154303,Timothée,Chalamet,1,ACTOR,Beautiful Boy,,,,
nm0430107,Michael B.,Jordan,1,ACTOR,Black Panther,Fahrenheit 451,Kin,Creed II,
nm1569276,Chadwick,Boseman,1,ACTOR,Black Panther,Avengers: Infinity War,,,
nm2257207,Daniel,Kaluuya,1,ACTOR,Black Panther,Widows,,,
nm0913475,John David,Washington,1,ACTOR,BlacKkKlansman,The Old Man & the Gun,Monsters and Men,,
nm3485845,Adam,Driver,1,ACTOR,BlacKkKlansman,The Man Who Killed Don Quixote,,,
nm1785339,Rami,Malek,1,ACTOR,Bohemian Rhapsody,,,,
nm0000128,Russell,Crowe,1,ACTOR,Boy Erased,,,,
nm2348627,Lucas,Hedges,1,ACTOR,Boy Erased,Mid90s,Ben Is Back,,
nm0001290,Richard E.,Grant,1,ACTOR,Can You Ever Forgive Me?,The Nutcracker and the Four Realms,,,
nm0357979,Josh,Hamilton,1,ACTOR,Eighth Grade,,,,
nm0000849,Javier,Bardem,1,ACTOR,Everybody Knows,,,,
nm0331516,Ryan,Gosling,1,ACTOR,First Man,,,,
nm0001557,Viggo,Mortensen,1,ACTOR,Green Book,,,,
nm0991810,Mahershala,Ali,1,ACTOR,Green Book,Spider-Man: Into the Spider-Verse,Alita: Battle Angel,,
nm1842974,Alex,Wolff,1,ACTOR,Hereditary,Dude,,,
nm4150847,Stephan,James,1,ACTOR,If Beale Street Could Talk,,,,
nm0413168,Hugh,Jackman,1,ACTOR,The Front Runner,,,,
nm0395203,Russell,Hornsby,1,ACTOR,The Hate U Give,Creed II,,,
nm0000602,Robert,Redford,1,ACTOR,The Old Man & the Gun,,,,
