Total Points,FIRST,LAST,STATUS,Waiver Expire,Position,Movie1,Movie2,Movie3,Movie4,Gotham,HFA
6,Yalitza,Aparicio,Ally and Chris Singh,,ACTRESS,Roma,,,,2,4
6,Glenn,Close,John Richards,,ACTRESS,The Wife,,,,2,4
6,Rachel,Weisz,Rachel Sloan,,ACTRESS,Disobedience,The Favourite,The Mercy,,2,4
4,Timothee,Chalamet,Ally and Chris Singh,,ACTOR,Beautiful Boy,,,,,4
4,The Favourite,The Favourite,Ally and Chris Singh,,PICTURE,The Favourite,,,,4,
4,John David,Washington,Free Agent,,ACTOR,BlacKkKlansman,The Old Man & the Gun,Monsters and Men,,,4
4,Hugh,Jackman,Free Agent,,ACTOR,The Front Runner,,,,,4
4,Amandla,Stenberg,Free Agent,,ACTRESS,Where Hands Touch,The Darkest Minds,The Hate U Give,,,4
4,,Crazy Rich Asians,Free Agent,,PICTURE,Crazy Rich Asians,,,,,4
4,Peter,Farrelly,Jamie and Matt Gregg,,DIRECTOR SCREENPLAY,Green Book,,,,,4
4,Brian Hayes,Currie,Jamie and Matt Gregg,,SCREENPLAY,Green Book,,,,,4
4,Damien,Chazelle,Nicole Timmons and Cory Hudson,,DIRECTOR,First Man,,,,,4
4,Felix,Van Groeningen,Rachel Sloan,,DIRECTOR SCREENPLAY,Beautiful Boy,,,,,4
4,Green Book,Green Book,Rachel Sloan,,PICTURE,Green Book,,,,,4
4,,Believer,Waivers,27-Oct,DOCUMENTARY,Believer,,,,,4
4,Nick,Vallelonga,Waivers,25-Oct,SCREENPLAY,Green Book,,,,,4
2,Ethan,Hawke,Ally and Chris Singh,,ACTOR DIRECTOR SCREENPLAY,First Reformed,Juliet Naked,Blaze,,2,
2,Olivia,Colman,Amanda and Andrew Dau,,ACTRESS,The Favourite,,,,2,
2,Minding the Gap,Minding the Gap,Amanda and Andrew Dau,,DOCUMENTARY,Minding the Gap,,,,2,
2,If Beale Street Could Talk,If Beale Street Could Talk,Anthony Fischer,,PICTURE,If Beale Street Could Talk,,,,2,
2,Lakeith,Stanfield,Free Agent,,ACTOR,Sorry to Bother You,,,,2,
2,Elsie,Fisher,Free Agent,,ACTRESS,Eighth Grade,,,,2,
2,Toni,Colette,Free Agent,,ACTRESS,Hereditary,,,,2,
2,Thomasin,McKenzie,Free Agent,,ACTRESS,Leave No Trace,,,,2,
2,Helena,Howard,Free Agent,,ACTRESS,Madeline's Madeline,,,,2,
2,Kathryn,Hahn,Free Agent,,ACTRESS,Private Life,,,,2,
2,Regina,Hall,Free Agent,,ACTRESS,Support the Girls,,,,2,
2,Michelle,Pfeiffer,Free Agent,,ACTRESS,Where Is Kyra?,,,,2,
2,Boots,Riley,Free Agent,,DIRECTOR SCORE SCREENPLAY,Sorry to Bother You,,,,2,
2,Paul,Schrader,Free Agent,,DIRECTOR SCREENPLAY,First Reformed,,,,2,
2,Ari,Aster,Free Agent,,DIRECTOR SCREENPLAY,Hereditary,,,,2,
2,Tamara,Jenkins,Free Agent,,DIRECTOR SCREENPLAY,Private Life,,,,2,
2,Crystal,Moselle,Free Agent,,DIRECTOR SCREENPLAY,Skate Kitchen,,,,2,
2,Andrew,Bujalski,Free Agent,,DIRECTOR SCREENPLAY,Support the Girls,,,,2,
